smiles,pgp_substrate
CCOCCN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1,1
CN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)Cl)CC1,1
