smiles,bbb
CCOCCN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1,0.01
CN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)Cl)CC1,0.06
